date,author,orcid,affiliation,tier,product_line,asset,channel,subject,paper_doi,hook,word_count,claims_used,drafted_by
,Phani Suresh Paladugu,,Synopsys (United States),T1,polycrystalline-CVD-diamond-wafer,NONE,email-draft,thermal headroom in HBM chiplet co-design,https://doi.org/10.5281/zenodo.18816182,co-designed HBM integration and telemetry driven optimization for AI and HPC chiplet architectures,99,none,draft_outreach.py
,"Quni-Gudzinas, Rowan Brad",0009-0002-4317-5604,Q-Flex (United States),T1,UHP-and-engineered-SCD,NONE,email-draft,substrate purity in cryogenic qubit lattices,https://doi.org/10.5281/zenodo.17709213,proposed a cryogenically stabilized lattice architecture for fault tolerant quantum computing,99,none,draft_outreach.py
,Wenhao Li,0000-0003-3434-9705,Intel (United Kingdom),T1,copper-diamond-composite,NONE,email-draft,cold spray copper diamond for package spreading,https://doi.org/10.4071/001c.128390,built cold sprayed copper diamond composites for semiconductor package thermal management,97,none,draft_outreach.py
,Yoshihiro TOMITA,,Intel (United Kingdom),T1,copper-diamond-composite,NONE,email-draft,copper diamond composite in package thermal paths,https://doi.org/10.4071/001c.124091,worked on cold sprayed copper diamond composites for semiconductor package thermal management,97,none,draft_outreach.py
,Bernd Dielacher,,EV Group (Austria),T2,single-crystal-CVD-diamond-plate,NONE,email-draft,low temperature bonding of diamond spreaders,https://doi.org/10.35848/1347-4065/adc699,demonstrated low temperature bonding of diamond heat spreaders for advanced thermal management,100,none,draft_outreach.py
,Charles Woychik,,NHanced Semiconductors (United States),T2,polycrystalline-CVD-diamond-wafer,NONE,email-draft,thermal limits on chiplet packaging,https://doi.org/10.37665/smctrsc40814,argued that chiplet architecture is the future of electronics packaging,98,none,draft_outreach.py
,Chih-Ming Hung,0009-0005-6613-5834,MediaTek (Taiwan),T2,polycrystalline-CVD-diamond-wafer,NONE,email-draft,thermal path in co-packaged optics integration,https://doi.org/10.1109/jetcas.2025.3590744,worked on heterogeneous integration for co-packaged optics,99,none,draft_outreach.py
,Guoyou Liu,0000-0002-0006-9302,"CRRC Zhuzhou Electric Locomotive Institute Company Ltd., Zhuzhou, China",T2,copper-diamond-composite,NONE,email-draft,die attach creep fatigue under power cycling,https://doi.org/10.1109/tpel.2025.3530991,investigated creep fatigue interaction failure in IGBT die attach solder layers under power cycling,98,none,draft_outreach.py
,Johanna Swan,,Intel (United Kingdom),T2,copper-diamond-composite,NONE,email-draft,cold spray copper diamond for package spreading,https://doi.org/10.4071/001c.128390,built cold sprayed copper diamond composites for semiconductor package thermal management,97,none,draft_outreach.py
,John Foley,,Kulicke & Soffa (United States),T2,polycrystalline-CVD-diamond-wafer,NONE,email-draft,wafer level interconnect and package thermal path,https://doi.org/10.4071/001c.129015,advanced vertical wire bonding for shielding and wafer level interconnect,100,none,draft_outreach.py
,Kerim T. Arat,0000-0002-5446-3006,Quantum Design (United States),T2,polycrystalline-CVD-diamond-wafer,NONE,email-draft,failure analysis of metal lines in chiplet integration,https://doi.org/10.1093/mam/ozaf048.166,built a multi-modal quality control and failure analysis approach for metal lines in chiplet integration,91,none,draft_outreach.py
,Mei-Chien Lu,0000-0003-4412-0752,EA Technology,T2,polycrystalline-CVD-diamond-wafer,NONE,email-draft,hybrid bonding and chiplet thermal budgets,https://doi.org/10.1115/1.4068767,laid out the manufacturing challenges of hybrid bonding for chiplet heterogeneous integration,95,none,draft_outreach.py
,Merouane Ouhab,,Mitsubishi Electric (France),T2,copper-diamond-composite,NONE,email-draft,power module lifetime under compound tests,https://doi.org/10.1109/tpel.2026.3688002,estimated power module lifetime under compound test conditions,96,none,draft_outreach.py
,Nils Zöllner,,Infineon Technologies (Germany),T2,copper-diamond-composite,NONE,email-draft,large area substrate temperature spread in converters,https://doi.org/10.1016/j.microrel.2025.115665,predicted power module lifetime in wind energy converters from temperature variation across a large area substrate,95,none,draft_outreach.py
,Shin Uegaki,,Mitsubishi Electric (Japan),T2,copper-diamond-composite,NONE,email-draft,power module lifetime under compound tests,https://doi.org/10.1109/tpel.2026.3688002,estimated power module lifetime under compound test conditions,96,none,draft_outreach.py
