author,orcid,affiliation,affiliation_type,country,paper_title,paper_year,paper_doi,paper_venue,author_position,topic_query,n_relevant_papers,industry_flag,score,reject_reason
Jiwen Zhao,,Diamond Materials (United States),industry,US,Modeling optimization and experimental verification of inch-scale heteroepitaxial single-crystal diamond nucleation with 915 MHz MPCVD,2026,https://doi.org/10.1016/j.vacuum.2026.115618,Vacuum,middle,single crystal diamond MPCVD,4,1,40,competitor affiliation
Ni Chen,0000-0002-2036-0324,Jiangsu Changjiang Electronics Technology (China),industry,CN,Nanosecond UV laser and micro-grinding on copper-based diamonds for electronic packaging,2024,https://doi.org/10.1016/j.ceramint.2024.12.112,Ceramics International,last,copper diamond composite,2,1,36,abrasive / non-device diamond
Ahmed Abdelaleem,0000-0002-9241-503X,South Valley University,academic,EG,"SiC MOSFET reliability: Review of degradation mechanisms, failures, and enhancement strategies",2026,https://doi.org/10.1016/j.eprime.2026.201163,e-Prime – Nexus of Electrical Electronic and Intelligent Engineering,first,wide bandgap power device packaging,1,0,36,"review-only, no primary work"
Craig A. Fisher,,Vishay Intertechnology (United States),industry,US,"SiC MOSFET reliability: Review of degradation mechanisms, failures, and enhancement strategies",2026,https://doi.org/10.1016/j.eprime.2026.201163,e-Prime – Nexus of Electrical Electronic and Intelligent Engineering,last,wide bandgap power device packaging,1,1,36,"review-only, no primary work"
H. Alan Mantooth,0000-0001-6447-5345,University of Arkansas at Fayetteville,academic,US,"Review of Ultrafast Switching Power Modules: Trends, Challenges, and Technical Solutions",2026,https://doi.org/10.1109/tpel.2026.3666879,IEEE Transactions on Power Electronics,last,wide bandgap power device packaging,1,0,36,"review-only, no primary work"
Qiang Wu,,University of Arkansas at Fayetteville,academic,US,"Review of Ultrafast Switching Power Modules: Trends, Challenges, and Technical Solutions",2026,https://doi.org/10.1109/tpel.2026.3666879,IEEE Transactions on Power Electronics,first,wide bandgap power device packaging,1,0,36,"review-only, no primary work"
Xicheng Zhang,0000-0003-3721-1357,China Electronics Technology Group Corporation,industry,CN,Advances and challenges in single crystal diamond growth via microwave plasma chemical vapor deposition,2026,https://doi.org/10.1080/26941112.2026.2669069,Functional Diamond,first,diamond thermal conductivity substrate,1,1,36,"review-only, no primary work"
Y J Zheng,,Nanjing University,academic,CN,Advances and challenges in single crystal diamond growth via microwave plasma chemical vapor deposition,2026,https://doi.org/10.1080/26941112.2026.2669069,Functional Diamond,last,diamond thermal conductivity substrate,1,0,36,"review-only, no primary work"
Hao Zhu,0000-0003-3890-6871,Shaoxing University,academic,CN,A review of ultra-wide-bandgap semiconductor radiation detector for high-energy particles and photons,2025,https://doi.org/10.1088/1361-6528/adb8f2,Nanotechnology,last,GaN diamond thermal,1,0,36,"review-only, no primary work"
He Xiao,0009-0001-8203-8701,Nanjing University of Aeronautics and Astronautics,academic,CN,Preparation of copper-based diamond microstructure with high-quality surface by laser chemical milling,2025,https://doi.org/10.1016/j.surfin.2025.107134,Surfaces and Interfaces,first,copper diamond composite,1,0,36,abrasive / non-device diamond
Liang Li,0000-0003-3076-5103,Nanjing University of Aeronautics and Astronautics,academic,CN,Preparation of copper-based diamond microstructure with high-quality surface by laser chemical milling,2025,https://doi.org/10.1016/j.surfin.2025.107134,Surfaces and Interfaces,last,copper diamond composite,1,0,36,abrasive / non-device diamond
Louisa Wong,,Manufacturing Technology Centre (United Kingdom),industry,GB,Exploring the efficacy of water jet guided laser for cutting of tungsten carbide backed polycrystalline diamond,2025,https://doi.org/10.1007/s00170-025-16387-w,The International Journal of Advanced Manufacturing Technology,first,diamond thermal conductivity substrate,1,1,36,abrasive / non-device diamond
Sundar Marimuthu,0000-0003-4109-9273,Manufacturing Technology Centre (United Kingdom),industry,GB,Exploring the efficacy of water jet guided laser for cutting of tungsten carbide backed polycrystalline diamond,2025,https://doi.org/10.1007/s00170-025-16387-w,The International Journal of Advanced Manufacturing Technology,last,diamond thermal conductivity substrate,1,1,36,abrasive / non-device diamond
Sunil Priyadarshi,,Arista (United States),industry,US,Unlocking the Potential of Co-Packaged Optics in AI and HPC: Opportunities and Challenges,2025,https://doi.org/10.1109/mcom.001.2500504,IEEE Communications Magazine,first,co-packaged optics thermal,1,1,36,"review-only, no primary work"
Wenzheng Cheng,0000-0002-9584-1624,Fudan University,academic,CN,A review of ultra-wide-bandgap semiconductor radiation detector for high-energy particles and photons,2025,https://doi.org/10.1088/1361-6528/adb8f2,Nanotechnology,first,GaN diamond thermal,1,0,36,"review-only, no primary work"
Jenitha Pilli,,University of Louisiana at Lafayette,academic,US,A Review on Micronchannel and Minichannel Cooling Techniques for High-Density Electronic Devices,2024,https://doi.org/10.63282/3050-9416.ijaibdcms-v5i3p121,International Journal of AI BigData Computational and Management Studies,first,laser diode thermal management,1,0,28,"review-only, no primary work"
Krishna Bhardwaj Mylavarapu,,University of Illinois at Springfield,academic,US,A Review on Micronchannel and Minichannel Cooling Techniques for High-Density Electronic Devices,2024,https://doi.org/10.63282/3050-9416.ijaibdcms-v5i3p121,International Journal of AI BigData Computational and Management Studies,last,laser diode thermal management,1,0,28,"review-only, no primary work"
Wenting Qiu,0009-0001-7220-2213,Central South University,academic,CN,High‐Strength Wear‐Resistant Cu/Tungsten Carbide/Diamond Composites Fabricated by Powder Metallurgy,2024,https://doi.org/10.1002/adem.202302142,Advanced Engineering Materials,last,copper diamond composite,1,0,28,abrasive / non-device diamond
Xiao He,0000-0002-4588-0887,Nanjing University of Aeronautics and Astronautics,academic,CN,Nanosecond UV laser and micro-grinding on copper-based diamonds for electronic packaging,2024,https://doi.org/10.1016/j.ceramint.2024.12.112,Ceramics International,first,copper diamond composite,1,0,28,abrasive / non-device diamond
Xiaoyan Zhang,0000-0003-0259-0887,Central South University,academic,CN,High‐Strength Wear‐Resistant Cu/Tungsten Carbide/Diamond Composites Fabricated by Powder Metallurgy,2024,https://doi.org/10.1002/adem.202302142,Advanced Engineering Materials,first,copper diamond composite,1,0,28,abrasive / non-device diamond
Ying Ren,0000-0002-5427-5283,Henan University of Technology,academic,CN,Recent progress in homoepitaxial single-crystal diamond growth via MPCVD,2024,https://doi.org/10.1007/s10854-024-12267-3,Journal of Materials Science Materials in Electronics,first,single crystal diamond MPCVD,1,0,28,"review-only, no primary work"
Zhengxin Li,0000-0003-3249-0430,Henan University of Technology,academic,CN,Recent progress in homoepitaxial single-crystal diamond growth via MPCVD,2024,https://doi.org/10.1007/s10854-024-12267-3,Journal of Materials Science Materials in Electronics,last,single crystal diamond MPCVD,1,0,28,"review-only, no primary work"
Barry Nel,,Vishay Intertechnology (United States),industry,US,"SiC MOSFET reliability: Review of degradation mechanisms, failures, and enhancement strategies",2026,https://doi.org/10.1016/j.eprime.2026.201163,e-Prime – Nexus of Electrical Electronic and Intelligent Engineering,middle,wide bandgap power device packaging,1,1,16,"review-only, no primary work"
Brian Rowden,0000-0002-4009-1707,Oak Ridge National Laboratory,academic,US,"Review of Ultrafast Switching Power Modules: Trends, Challenges, and Technical Solutions",2026,https://doi.org/10.1109/tpel.2026.3666879,IEEE Transactions on Power Electronics,middle,wide bandgap power device packaging,1,0,16,"review-only, no primary work"
Chanyeop Park,0000-0002-9201-1991,Arizona State University,academic,US,"Review of Ultrafast Switching Power Modules: Trends, Challenges, and Technical Solutions",2026,https://doi.org/10.1109/tpel.2026.3666879,IEEE Transactions on Power Electronics,middle,wide bandgap power device packaging,1,0,16,"review-only, no primary work"
John Fraley,0009-0006-1041-7370,University of Arkansas at Fayetteville,academic,US,"Review of Ultrafast Switching Power Modules: Trends, Challenges, and Technical Solutions",2026,https://doi.org/10.1109/tpel.2026.3666879,IEEE Transactions on Power Electronics,middle,wide bandgap power device packaging,1,0,16,"review-only, no primary work"
Jon Evans,,Swansea University,academic,GB,"SiC MOSFET reliability: Review of degradation mechanisms, failures, and enhancement strategies",2026,https://doi.org/10.1016/j.eprime.2026.201163,e-Prime – Nexus of Electrical Electronic and Intelligent Engineering,middle,wide bandgap power device packaging,1,0,16,"review-only, no primary work"
Kewei Sun,,ON Semiconductor (United States),industry,US,Advances and challenges in single crystal diamond growth via microwave plasma chemical vapor deposition,2026,https://doi.org/10.1080/26941112.2026.2669069,Functional Diamond,middle,diamond thermal conductivity substrate,1,1,16,"review-only, no primary work"
Mike Jennings,,Swansea University,academic,GB,"SiC MOSFET reliability: Review of degradation mechanisms, failures, and enhancement strategies",2026,https://doi.org/10.1016/j.eprime.2026.201163,e-Prime – Nexus of Electrical Electronic and Intelligent Engineering,middle,wide bandgap power device packaging,1,0,16,"review-only, no primary work"
Mohammad Dehan Rahman,0009-0006-9242-9999,University of Arkansas at Fayetteville,academic,US,"Review of Ultrafast Switching Power Modules: Trends, Challenges, and Technical Solutions",2026,https://doi.org/10.1109/tpel.2026.3666879,IEEE Transactions on Power Electronics,middle,wide bandgap power device packaging,1,0,16,"review-only, no primary work"
Mohammad Monfared,0000-0002-8987-0883,Swansea University,academic,GB,"SiC MOSFET reliability: Review of degradation mechanisms, failures, and enhancement strategies",2026,https://doi.org/10.1016/j.eprime.2026.201163,e-Prime – Nexus of Electrical Electronic and Intelligent Engineering,middle,wide bandgap power device packaging,1,0,16,"review-only, no primary work"
Mohammed Amer Karout,,Vishay Intertechnology (United States),industry,US,"SiC MOSFET reliability: Review of degradation mechanisms, failures, and enhancement strategies",2026,https://doi.org/10.1016/j.eprime.2026.201163,e-Prime – Nexus of Electrical Electronic and Intelligent Engineering,middle,wide bandgap power device packaging,1,1,16,"review-only, no primary work"
Monoj Ghosh,,Eaton (United States),industry,US,"Review of Ultrafast Switching Power Modules: Trends, Challenges, and Technical Solutions",2026,https://doi.org/10.1109/tpel.2026.3666879,IEEE Transactions on Power Electronics,middle,wide bandgap power device packaging,1,1,16,"review-only, no primary work"
Rong Zhang,,Nanjing University,academic,CN,Advances and challenges in single crystal diamond growth via microwave plasma chemical vapor deposition,2026,https://doi.org/10.1080/26941112.2026.2669069,Functional Diamond,middle,diamond thermal conductivity substrate,1,0,16,"review-only, no primary work"
Saeed Jahdi,0000-0002-6471-0429,At Bristol,academic,GB,"SiC MOSFET reliability: Review of degradation mechanisms, failures, and enhancement strategies",2026,https://doi.org/10.1016/j.eprime.2026.201163,e-Prime – Nexus of Electrical Electronic and Intelligent Engineering,middle,wide bandgap power device packaging,1,0,16,"review-only, no primary work"
Sudharsan Chinnaiyan,0000-0002-9594-5220,University of Arkansas at Fayetteville,academic,US,"Review of Ultrafast Switching Power Modules: Trends, Challenges, and Technical Solutions",2026,https://doi.org/10.1109/tpel.2026.3666879,IEEE Transactions on Power Electronics,middle,wide bandgap power device packaging,1,0,16,"review-only, no primary work"
